No,Grup Sidebar,Menu Sidebar FE,Rute URL Halaman FE,Modul API Backend,Method,Endpoint Path,Deskripsi / Fungsi API,Status API di Backend,Status Halaman FE,Prioritas,Langkah Aksi Integrasi
1,Menu Utama,Dashboard,/dashboard,Dashboard / Analytics,POST,/api/v1/customer/list (Aggregate),Statistik total pelanggan aktif untuk ringkasan dashboard,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,"Ambil total customer, business, & partner untuk widget dashboard"
2,Menu Utama,Dashboard,/dashboard,Dashboard / Analytics,GET,/api/v1/broadband/list-status,"Statistik status layanan broadband (aktif, isolir, suspend)",✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Tampilkan grafik donut/pie status jaringan & layanan
3,Pengguna,Administrator,/users,Administrator,POST,/api/v1/admin/login,Autentikasi admin dan mendapatkan Bearer token,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Hubungkan form login Next.js ke endpoint login admin baru
4,Pengguna,Administrator,/users,Administrator,GET,/api/v1/admin/me,Mendapatkan profil dan role admin yang sedang login,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Simpan sesi user di Zustand auth store
5,Pengguna,Administrator,/users,Administrator,POST,/api/v1/admin/list,"Daftar tabel admin dengan pagination, filter divisi, & sorting",✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Tampilkan di tabel halaman User Management (/users)
6,Pengguna,Administrator,/users/new,Administrator,POST,/api/v1/admin/create,Menambahkan akun administrator baru beserta divisi & jabatan,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Kirim payload form tambah admin
7,Pengguna,Administrator,/users/[id]/edit,Administrator,GET,/api/v1/admin/read/{id},Detail data administrator berdasarkan ID,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Isi data awal form edit admin
8,Pengguna,Administrator,/users/[id]/edit,Administrator,PATCH,/api/v1/admin/update,Memperbarui informasi profil dan penugasan admin,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Simpan perubahan data admin
9,Pengguna,Administrator,/users,Administrator,PATCH,/api/v1/admin/change-status,Toggle status aktif / non-aktif administrator,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Tombol aktif/non-aktif di baris tabel
10,Pengguna,Administrator,/users,Administrator,DELETE,/api/v1/admin/delete/{id},Menghapus akun administrator,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Aksi tombol hapus admin
